日K,執行UTC,權益USDT,下單數,淨曝險%
2026-07-09,2026-07-10 06:48,5000.0,8,-33.33
2026-07-10,2026-07-11 02:13,4975.78,1,-16.67
2026-07-11,2026-07-12 03:59,4984.89,0,-16.67
2026-07-12,2026-07-13 03:59,5014.19,2,-16.67
2026-07-13,2026-07-14 03:33,5021.3,1,-16.67
2026-07-14,2026-07-15 03:34,5000.54,4,-0.0
2026-07-15,2026-07-16 03:36,4985.83,2,-0.0
2026-07-16,2026-07-17 03:37,4973.03,2,-16.67
2026-07-17,2026-07-18 03:31,4958.45,1,-0.0
2026-07-18,2026-07-19 03:53,4959.65,1,-0.0
2026-07-19,2026-07-20 04:04,4965.9,0,-0.0
2026-07-20,2026-07-21 03:44,4976.1,2,-0.0
2026-07-21,2026-07-22 03:46,4970.85,1,-0.0
2026-07-22,2026-07-23 03:44,4973.81,0,-0.0
2026-07-23,2026-07-24 03:44,4985.07,3,-0.0
2026-07-24,2026-07-25 03:36,4974.92,1,-0.0
2026-07-25,2026-07-26 03:55,4970.8,1,-0.0
2026-07-26,2026-07-27 04:03,4980.06,1,-0.0
2026-07-27,2026-07-28 03:35,4994.04,5,-0.0
2026-07-28,2026-07-29 03:38,4984.31,2,-16.67
2026-07-29,2026-07-30 03:28,4994.5,0,-16.67
2026-07-30,2026-07-31 03:49,4984.67,1,-16.67
2026-07-31,2026-08-01 03:49,4979.74,3,-33.33
2026-08-01,2026-08-02 03:52,4955.73,1,-33.33
2026-08-02,2026-08-03 03:54,4947.73,1,-16.67
2026-08-03,2026-08-04 03:36,4936.17,1,-16.67
2026-08-04,2026-08-05 03:32,4958.98,0,-16.67
2026-08-05,2026-08-06 03:36,4981.49,2,-16.67
2026-08-06,2026-08-07 00:15,4962.94,1,-16.67
2026-08-07,2026-08-08 02:21,4960.28,0,-16.67
2026-08-08,2026-08-09 02:28,4942.95,2,-0.0
2026-08-09,2026-08-10 02:35,4964.64,0,-0.0
2026-08-10,2026-08-11 02:27,4942.95,1,-0.0
2026-08-11,2026-08-12 02:44,4927.1,2,-0.0
2026-08-12,2026-08-13 02:47,4946.79,2,-16.67
2026-08-13,2026-08-14 02:46,4940.86,1,-0.0
2026-08-14,2026-08-15 01:49,4931.15,4,-33.33
2026-08-15,2026-08-16 01:57,4926.79,0,-33.33
2026-08-16,2026-08-17 01:55,4928.35,0,-33.33
2026-08-17,2026-08-18 03:57,4934.64,2,-16.67
2026-08-18,2026-08-19 01:53,4930.66,1,-0.0
2026-08-19,2026-08-20 01:51,4995.4,6,-0.0
2026-08-20,2026-08-21 01:57,4979.01,8,25.0
2026-08-21,2026-08-22 01:50,4995.43,7,25.0
2026-08-22,2026-08-23 01:59,4998.43,2,25.0
2026-08-23,2026-08-24 01:57,5001.53,1,25.0
2026-08-24,2026-08-25 01:52,5075.1,1,25.0
2026-08-25,2026-08-26 01:58,5067.67,3,25.0
2026-08-26,2026-08-27 00:48,5104.26,2,25.0
2026-08-27,2026-08-28 00:25,5168.21,1,34.38
2026-08-28,2026-08-29 01:45,5099.68,5,62.5
2026-08-29,2026-08-30 05:24,5120.63,1,62.5
2026-08-30,2026-08-31 05:33,5083.84,2,71.88
2026-08-31,2026-09-01 00:38,5117.36,1,62.5
2026-09-01,2026-09-02 04:32,5044.55,4,25.0
