日K,執行UTC,幣種,方向,數量,成交價,名目USDT,orderId
2026-07-12,2026-07-13 03:59,ADAUSDT,SELL,96.0,0.1587,15.24,994546632
2026-07-12,2026-07-13 03:59,SOLUSDT,BUY,0.29,75.8,21.98,3109742936
2026-07-13,2026-07-14 03:33,XLMUSDT,SELL,105.0,0.17861,18.75,563744522
2026-07-14,2026-07-15 03:34,BTCUSDT,BUY,0.0128,64669.4,827.77,21815139973
2026-07-14,2026-07-15 03:34,ETHUSDT,SELL,0.011,1873.4,20.61,13363125103
2026-07-14,2026-07-15 03:34,LINKUSDT,BUY,1.85,8.284,15.33,831141250
2026-07-14,2026-07-15 03:34,SOLUSDT,SELL,0.19,77.64,14.75,3175814857
2026-07-15,2026-07-16 03:36,ADAUSDT,BUY,90.0,0.1654,14.89,1023844841
2026-07-15,2026-07-16 03:36,XLMUSDT,BUY,99.0,0.18786,18.6,573655860
2026-07-16,2026-07-17 03:37,BTCUSDT,SELL,0.0128,63665.1,814.91,22228854744
2026-07-16,2026-07-17 03:37,SOLUSDT,BUY,0.17,75.32,12.8,3235385572
2026-07-17,2026-07-18 03:31,BTCUSDT,BUY,0.0128,63924.1,818.23,22447912402
2026-07-18,2026-07-19 03:53,LTCUSDT,BUY,0.435,46.88,20.39,1372486887
2026-07-20,2026-07-21 03:44,LINKUSDT,BUY,1.61,8.612,13.87,868538126
2026-07-20,2026-07-21 03:44,SOLUSDT,SELL,0.25,78.21,19.55,3361255633
2026-07-21,2026-07-22 03:46,ADAUSDT,BUY,99.0,0.174,17.23,1078199023
2026-07-23,2026-07-24 03:44,ADAUSDT,SELL,78.0,0.1672,13.04,1096140363
2026-07-23,2026-07-24 03:44,DOGEUSDT,SELL,269.0,0.06934,18.65,1812823169
2026-07-23,2026-07-24 03:44,SOLUSDT,BUY,0.23,75.79,17.43,3450119129
2026-07-24,2026-07-25 03:36,XLMUSDT,SELL,77.0,0.17919,13.8,617824256
2026-07-25,2026-07-26 03:55,DOGEUSDT,BUY,217.0,0.07264,15.76,1859745374
2026-07-26,2026-07-27 04:03,ETHUSDT,SELL,0.012,1950.61,23.41,14680938968
2026-07-27,2026-07-28 03:35,ADAUSDT,SELL,153.0,0.1548,23.68,1132931584
2026-07-27,2026-07-28 03:35,DOGEUSDT,SELL,175.0,0.07012,12.27,1905276627
2026-07-27,2026-07-28 03:35,ETHUSDT,BUY,0.011,1876.52,20.64,14780029599
2026-07-27,2026-07-28 03:35,SOLUSDT,BUY,0.24,73.23,17.58,3577486938
2026-07-27,2026-07-28 03:35,XLMUSDT,SELL,76.0,0.17232,13.1,630825696
2026-07-28,2026-07-29 03:38,ADAUSDT,BUY,115.0,0.1638,18.84,1141562493
2026-07-28,2026-07-29 03:38,SOLUSDT,SELL,11.34,73.26,830.77,3609763673
2026-07-30,2026-07-31 03:49,ADAUSDT,BUY,73.0,0.1703,12.43,1170328493
2026-07-31,2026-08-01 03:49,BTCUSDT,SELL,0.0129,62981.7,812.46,25976983272
2026-07-31,2026-08-01 03:49,LINKUSDT,SELL,1.84,8.199,15.09,955453015
2026-07-31,2026-08-01 03:49,LTCUSDT,SELL,0.378,44.52,16.83,1488976260
2026-08-01,2026-08-02 03:52,ADAUSDT,BUY,104.0,0.1796,18.68,1223396169
2026-08-02,2026-08-03 03:54,BTCUSDT,BUY,0.013,62909.0,817.82,27634491226
2026-08-03,2026-08-04 03:36,ADAUSDT,BUY,145.0,0.1953,28.32,1264554625
2026-08-05,2026-08-06 03:36,ADAUSDT,SELL,67.0,0.1891,12.67,1289635598
2026-08-05,2026-08-06 03:36,XLMUSDT,SELL,110.0,0.16201,17.82,700305673
2026-08-06,2026-08-07 00:15,ADAUSDT,BUY,106.0,0.2013,21.34,1290280185
2026-08-08,2026-08-09 02:28,LTCUSDT,BUY,0.266,45.94,12.22,1567241036
2026-08-08,2026-08-09 02:28,SOLUSDT,BUY,11.03,75.91,837.29,4179218359
2026-08-10,2026-08-11 02:27,ADAUSDT,SELL,84.0,0.1902,15.98,1292969277
2026-08-11,2026-08-12 02:44,DOGEUSDT,BUY,177.0,0.07205,12.75,2317452342
2026-08-11,2026-08-12 02:44,LINKUSDT,BUY,2.85,8.772,25.0,1026914642
2026-08-12,2026-08-13 02:47,ADAUSDT,SELL,74.0,0.182,13.47,1293792152
2026-08-12,2026-08-13 02:47,SOLUSDT,SELL,10.86,75.63,821.34,4181733809
2026-08-13,2026-08-14 02:46,SOLUSDT,BUY,10.84,76.09,824.82,4182175458
2026-08-14,2026-08-15 01:49,BTCUSDT,SELL,0.0129,62970.6,812.32,28541535672
2026-08-14,2026-08-15 01:49,LINKUSDT,BUY,1.67,9.218,15.39,1028029752
2026-08-14,2026-08-15 01:49,LTCUSDT,SELL,0.31,43.81,13.58,1569839015
2026-08-14,2026-08-15 01:49,SOLUSDT,SELL,10.85,75.36,817.66,4182659772
2026-08-17,2026-08-18 03:57,ADAUSDT,SELL,93.0,0.1722,16.01,1295710008
2026-08-17,2026-08-18 03:57,BTCUSDT,BUY,0.0128,64137.1,820.95,28545141481
2026-08-18,2026-08-19 01:53,SOLUSDT,BUY,10.78,76.74,827.26,4184554679
2026-08-19,2026-08-20 01:51,ADAUSDT,BUY,126.0,0.1875,23.62,1296505733
2026-08-19,2026-08-20 01:51,ETHUSDT,SELL,0.048,2267.99,108.86,16765688567
2026-08-19,2026-08-20 01:51,LINKUSDT,BUY,3.83,10.546,40.39,1030215159
2026-08-19,2026-08-20 01:51,LTCUSDT,BUY,0.4,47.06,18.82,1571620061
2026-08-19,2026-08-20 01:51,SOLUSDT,SELL,0.59,85.3,50.33,4185063948
2026-08-19,2026-08-20 01:51,XLMUSDT,BUY,114.0,0.17269,19.69,705959215
2026-08-20,2026-08-21 01:57,ADAUSDT,BUY,916.0,0.2073,189.89,1296948117
2026-08-20,2026-08-21 01:57,BTCUSDT,BUY,0.0009,75291.0,67.76,28549787635
2026-08-20,2026-08-21 01:57,DOGEUSDT,BUY,2386.0,0.08237,196.53,2323134302
